test_case,r,b,d,mip_z,mip_t,baseline_z,baseline_t,heuristics_z,heuristics_t
0.0,127.0,57.0,103.0,9.0,0.3100311756134033,7.0,0.04518890380859375,9.0,0.6145658493041992
1.0,130.0,58.0,107.0,14.0,0.3231029510498047,12.0,0.04753899574279785,14.0,0.7498607635498047
2.0,141.0,123.0,107.0,24.0,0.8947489261627197,21.0,0.12924408912658691,24.0,1.2861711978912354
3.0,144.0,149.0,111.0,30.0,0.8663890361785889,22.0,0.189561128616333,29.0,1.4244799613952637
4.0,165.0,162.0,116.0,28.0,1.155717134475708,21.0,0.2027909755706787,28.0,1.7439191341400146
5.0,180.0,163.0,118.0,36.0,1.3036670684814453,29.0,0.20058107376098633,36.0,1.8186211585998535
6.0,186.0,168.0,119.0,37.0,1.4477088451385498,31.0,0.24597620964050293,37.0,2.0307819843292236
7.0,225.0,193.0,127.0,52.0,1.9173381328582764,45.0,0.3155069351196289,51.0,2.520331859588623
8.0,237.0,194.0,129.0,58.0,1.9704630374908447,45.0,0.30992889404296875,55.0,2.6053991317749023
9.0,246.0,205.0,130.0,59.0,2.05651593208313,49.0,0.31189703941345215,57.0,2.5329971313476562
10.0,303.0,208.0,133.0,72.0,2.4069528579711914,61.0,0.39859509468078613,69.0,3.2253732681274414
11.0,305.0,239.0,155.0,84.0,2.9902689456939697,70.0,0.5196819305419922,78.0,3.8607747554779053
12.0,354.0,240.0,162.0,92.0,3.515500068664551,73.0,0.5900619029998779,84.0,4.1002209186553955
13.0,462.0,254.0,165.0,142.0,4.82859992980957,118.0,0.8014218807220459,128.0,5.835515022277832
14.0,477.0,256.0,167.0,136.0,5.185117959976196,109.0,0.8602759838104248,119.0,5.696785926818848
15.0,531.0,258.0,178.0,152.0,6.044896841049194,134.0,0.8558261394500732,139.0,6.171891927719116
16.0,537.0,278.0,183.0,162.0,6.1865599155426025,135.0,0.9819269180297852,144.0,6.848961114883423
17.0,568.0,280.0,185.0,192.0,7.38892388343811,157.0,1.0260369777679443,170.0,7.762787818908691
18.0,587.0,281.0,189.0,208.0,7.095773935317993,173.0,0.9989900588989258,180.0,7.442649841308594
19.0,589.0,289.0,191.0,191.0,6.899844169616699,165.0,1.0444321632385254,167.0,7.156919002532959
