test_case,r,b,d,mip_z,mip_t,baseline_z,baseline_t,heuristics_z,heuristics_t,dp_t,dp_z
0.0,1.0,2.0,114.0,1.0,0.011322736740112305,1.0,0.0002658367156982422,1.0,0.4609537124633789,0.00023794174194335938,1.0
1.0,1.0,2.0,178.0,1.0,0.008570194244384766,1.0,0.00033783912658691406,1.0,0.38988375663757324,0.00031495094299316406,1.0
2.0,1.0,2.0,244.0,1.0,0.007421970367431641,1.0,0.00021982192993164062,1.0,0.3804490566253662,0.0004069805145263672,1.0
3.0,2.0,2.0,283.0,2.0,0.009711742401123047,2.0,0.00047898292541503906,2.0,0.4881620407104492,0.00047898292541503906,2.0
4.0,3.0,2.0,365.0,3.0,0.013083219528198242,3.0,0.00041031837463378906,3.0,0.5496621131896973,0.0012171268463134766,3.0
5.0,3.0,2.0,487.0,2.0,0.009626150131225586,2.0,0.00034117698669433594,2.0,0.5538508892059326,0.0005421638488769531,2.0
6.0,5.0,2.0,491.0,5.0,0.014960050582885742,5.0,0.0003991127014160156,5.0,0.7043471336364746,0.012146949768066406,5.0
7.0,5.0,2.0,628.0,4.0,0.012874841690063477,3.0,0.0004870891571044922,4.0,0.8157181739807129,0.001313924789428711,4.0
8.0,5.0,3.0,703.0,5.0,0.012468099594116211,4.0,0.0006189346313476562,5.0,0.6146640777587891,0.002231121063232422,5.0
9.0,6.0,3.0,829.0,6.0,0.016228914260864258,5.0,0.0005431175231933594,6.0,0.6097800731658936,0.028419971466064453,6.0
10.0,7.0,3.0,901.0,7.0,0.014653921127319336,5.0,0.0005331039428710938,7.0,0.6239628791809082,0.015601158142089844,7.0
11.0,8.0,3.0,935.0,5.0,0.013242006301879883,4.0,0.00047278404235839844,5.0,0.6289851665496826,0.004071235656738281,5.0
12.0,10.0,3.0,953.0,10.0,0.03868269920349121,10.0,0.0006239414215087891,10.0,0.7372491359710693,4.976607799530029,10.0
13.0,10.0,3.0,1086.0,6.0,0.035475969314575195,4.0,0.0006349086761474609,6.0,0.7541501522064209,0.00665593147277832,6.0
14.0,10.0,4.0,1218.0,9.0,0.04173111915588379,5.0,0.0007469654083251953,8.0,0.7220039367675781,0.042635202407836914,9.0
15.0,10.0,4.0,1504.0,10.0,0.03268718719482422,10.0,0.0007681846618652344,10.0,0.8818738460540771,7.1925880908966064,10.0
16.0,10.0,4.0,1573.0,10.0,0.05102229118347168,10.0,0.0007979869842529297,10.0,0.7108299732208252,2.6474597454071045,10.0
17.0,11.0,4.0,1674.0,8.0,0.01624608039855957,5.0,0.0006749629974365234,7.0,0.8268170356750488,0.1345672607421875,8.0
18.0,11.0,4.0,1923.0,10.0,0.039778709411621094,5.0,0.0008039474487304688,9.0,0.7941219806671143,0.07039999961853027,10.0
19.0,14.0,4.0,1939.0,14.0,0.05122113227844238,8.0,0.0008833408355712891,11.0,0.9837853908538818,2.748732805252075,14.0
